Date,Content,Comment
2023-12-24,https://boxd.it/5nEvDl,"Estaba esperando que alguien escribiera esto.

Cuando empezó me recordó tanto a Red, White & Royal Blue... no nos pudimos haber equivocado más!"
2023-12-28,https://boxd.it/5pgmcZ,"Sí, desde hace un par de días!"
2023-12-31,https://boxd.it/507FFt,The best review I read about this movie. Powerful.
2024-01-02,https://boxd.it/5rqgDN,The Holdovers
2024-01-19,https://boxd.it/5CQWBF,Hola! Por unsoloclic.info
2024-03-09,https://boxd.it/sWrZa,"<a href=""https://boxd.it/5960Dv"">Only You (2018)</a>. Please!"
2024-03-13,https://boxd.it/Bq7QD,"Wow, thank you for sharing this!"
2024-03-18,https://boxd.it/64CwW7,"Justo hasta el 4to capítulo me aburrió un toque, pero después me fascinó. No sé si realmente mejoró o yo me acostumbré a su estilo!"
2024-03-27,https://boxd.it/5NteU7,I love the show more than the movie. It's perfect.
2024-03-27,https://boxd.it/62Fttf,"When I remember the last two episodes, I cry again, no matter how much time passes."
2024-03-30,https://boxd.it/264rod,"Wow, I love it!"
2024-03-31,https://boxd.it/97jY5,I love it!
2024-04-10,https://boxd.it/4kuGH,The best review I have read about this movie!
2024-05-18,https://boxd.it/6uqbtD,Es un peliculón poco reconocido hasta en nuestro propio país!
2024-06-01,https://boxd.it/6muVCH,"Wow, fantastic!"
2024-07-04,https://boxd.it/6Di3Sl,YES!
2024-07-10,https://boxd.it/6PJEsr,"Adhiero completamente. Ese plano que mencionas, junto al de Hunter y Travis caminando e imitándose desde veredas opuestas, me parecen poéticos!"
2024-07-17,https://boxd.it/6MIpbV,I'm so glad because the review was written with a lot of love. Thanks! ❤️
2024-07-17,https://boxd.it/nFLlf,Such a great review!
2024-07-17,https://boxd.it/WCpjb,The best part
2024-08-01,https://boxd.it/6TiJgd,@victoriacara ❤️❤️
2024-08-20,https://boxd.it/33VNeL,Woooow!
2024-09-14,https://boxd.it/yilJ0,"@yerayloxdd creo que la menciona Alex en el primer capítulo como ""excusa"" de por qué no se quiso acostar con Marifer!"
2024-09-21,https://boxd.it/6VH2Q1,Totally. Why is no one talking about Brandon Perea? 🔥
2024-09-26,https://boxd.it/2aSIxR,"Wow, beautiful words! 💗"
2024-10-09,https://boxd.it/uXcKa,"Have you seen the short film ""Trunk""? That's where I met him. It's on Youtube! https://www.youtube.com/watch?v=GXrspUdyTDA&ab_channel=SelfMadeCinema%28SMC%29"
2024-10-11,https://boxd.it/uXcKa,"I'm glad you liked it, it's really cool.

Yes, when I read from the Letterboxd website I use the Chrome translator, but from the app it's impossible. It's a shame, they should incorporate that feature. Thanks anyway! 🧡"
2024-10-11,https://boxd.it/7vumsr,"You're welcome, I hope this short film reaches a lot more people! 🧡"
2024-10-11,https://boxd.it/uXcKa,"Wow, I'm going to test it on Android!"
2024-10-11,https://boxd.it/7vumsr,❤️❤️
2024-10-12,https://boxd.it/7wC8wz,"Coincido completamente. Todos los relatos son geniales, pero el que más fácil se puede desencadenar en la vida cotidiana es el de Sbaraglia, por eso todos los días tenemos algún video viral en las noticias de ""relatos salvajes"" en la calle."
2024-10-26,https://boxd.it/73JxSj,"I really enjoyed the movie, but I completely agree with your review, real and respectful."
2024-10-26,https://boxd.it/75xoWv,I loved your review!
2024-10-26,https://boxd.it/5VmmrZ,I remembered this with your review and I cried again!
2024-10-26,https://boxd.it/741cHZ,Não li o livro mas como é que não incluíram uma frase tão bonita?
2024-10-26,https://boxd.it/7cX6n3,Coincido en todo!
2024-10-26,https://boxd.it/7DQF6P,I love the poster you chose 💔
2024-10-26,https://boxd.it/7DQF6P,So beautiful and touching! 💗
2024-10-27,https://boxd.it/7DLmT9,Se tenía que decir y se dijo!
2024-10-30,https://boxd.it/20Wdkv,"Wow, I loved your review!"
2024-11-05,https://boxd.it/7JjvKj,Espantosa y sin sentido...
2024-11-06,https://boxd.it/2h50Vl,I loved this movie and your review.
2024-11-06,https://boxd.it/2zSiXp,"So true, I loved this movie!"
2024-11-06,https://boxd.it/2BQHot,"So true, I loved this movie!"
2024-11-13,https://boxd.it/7MN4Qh,"Muchas gracias @mjthornton por tu mensaje y comentario, ya pude solucionar el inconveniente con el link de Serializd. Nos estamos leyendo!"
2024-11-21,https://boxd.it/q9E53,Great review!
2024-11-27,https://boxd.it/7A08n3,So beautiful!
2024-11-27,https://boxd.it/7vAA3x,So beautiful! ❤️
