Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-09-14,The Crowded Room,2023,https://boxd.it/4Qj56V,4.5,,,2023-09-13
2023-09-20,18 Presents,2020,https://boxd.it/4S3bL7,5,,,2023-09-19
2023-10-20,The Girl from Uruguay,2022,https://boxd.it/51ohhb,3.5,,,2023-10-19
2023-11-16,Fair Play,2023,https://boxd.it/5apeI7,3.5,,,2023-11-15
2023-12-07,The Sleepwalkers,2019,https://boxd.it/5hsWA1,3.5,,,2023-12-06
2023-12-09,Sunstrokes,2014,https://boxd.it/5i2V7J,3.5,,,2023-12-08
2023-12-15,The Boss: Anatomy of a Crime,2014,https://boxd.it/5kdSRf,4.5,,,2023-12-14
2023-12-18,Love After Music,2023,https://boxd.it/5lfIN1,4.5,,,2023-12-17
2023-12-19,The Man Next Door,2009,https://boxd.it/5lIQqn,1,,,2023-12-18
2023-12-23,My Masterpiece,2018,https://boxd.it/5nexHH,1.5,,,2023-12-21
2023-12-28,Whatever It Takes,2000,https://boxd.it/5pLf0f,3,,,2023-12-27
2023-12-29,Last Call for Istanbul,2023,https://boxd.it/5qpJg3,3,,,2023-12-28
2023-12-30,Fall,2022,https://boxd.it/5qYyXP,3,,,2023-12-29
