Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-01,2010s Ranked,"2010s, 2010sranked, top, top2010s",https://boxd.it/tudve,"All the movies, short films, documentaries, tv shows and miniseries released between 2010 and 2019 that I’ve seen."

Position,Name,Year,URL,Description
1,Only You,2018,https://boxd.it/iAMg,
2,Beautiful Boy,2018,https://boxd.it/g76Q,
3,I Origins,2014,https://boxd.it/7aRM,
4,The Class: Life After,2010,https://boxd.it/B7oi,
5,"River, el más grande siempre",2019,https://boxd.it/mcNM,
6,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,
7,Bacurau,2019,https://boxd.it/fSUG,
8,Life Itself,2018,https://boxd.it/fUda,
9,7 Boxes,2012,https://boxd.it/4byq,
10,Adrift,2018,https://boxd.it/fdiG,
11,"Love, Rosie",2014,https://boxd.it/62hE,
12,One Day,2011,https://boxd.it/Asu,
13,About Time,2013,https://boxd.it/43bI,
14,Stockholm,2013,https://boxd.it/5DeA,
15,Interstellar,2014,https://boxd.it/4VZ8,
16,Coco,2017,https://boxd.it/bYJQ,
17,Bodyguard,2018,https://boxd.it/vC2U,
18,The Boss: Anatomy of a Crime,2014,https://boxd.it/a8p8,
19,The Spectacular Now,2013,https://boxd.it/4VSG,
20,¡Atraco!,2012,https://boxd.it/4rnS,
21,At the End of the Tunnel,2016,https://boxd.it/dN92,
22,Adult World,2013,https://boxd.it/4zbK,
23,Under the Silver Lake,2018,https://boxd.it/dSAs,
24,Doomed,2014,https://boxd.it/xmjk,
25,Never Let Me Go,2010,https://boxd.it/Xw0,
26,127 Hours,2010,https://boxd.it/SLa,
27,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,
28,The Clan,2015,https://boxd.it/bQmO,
29,Truman,2015,https://boxd.it/bocw,
30,The Lost Brother,2017,https://boxd.it/fWSO,
31,The Weasel's Tale,2019,https://boxd.it/l5f2,
32,Cam,2018,https://boxd.it/iWvG,
33,A Mother's Son,2012,https://boxd.it/bsQg,
34,Room for Rent,2019,https://boxd.it/LpB0,
35,Laps,2017,https://boxd.it/hgOO,
36,Remember Me,2010,https://boxd.it/1zyI,
37,We Need to Talk About Kevin,2011,https://boxd.it/2pTS,
38,The Disappearance of Eleanor Rigby: Him,2013,https://boxd.it/8pIs,
39,The Disappearance of Eleanor Rigby: Her,2013,https://boxd.it/8m8Q,
40,The Wild Children,2012,https://boxd.it/3HZc,
41,Vivarium,2019,https://boxd.it/gmVE,
42,Begin Again,2013,https://boxd.it/5Ybs,
43,The Accused,2018,https://boxd.it/iPiU,
44,Animal,2018,https://boxd.it/i2tu,
45,Historia de un clan,2015,https://boxd.it/vEHg,
46,Inseparables,2016,https://boxd.it/eMfU,
47,The Sleepwalkers,2019,https://boxd.it/mZOO,
48,The Lobbyist,2018,https://boxd.it/HLGS,
49,Appropriate Adult,2011,https://boxd.it/6crE,
50,My First Wedding,2011,https://boxd.it/31zQ,
51,Chinese Take-Away,2011,https://boxd.it/2eGy,
52,Tuesday,2015,https://boxd.it/AJsU,
53,American Hustle,2013,https://boxd.it/5dz8,
54,Sunstrokes,2014,https://boxd.it/95ou,
55,American Sniper,2014,https://boxd.it/5LDy,
56,Dirty John: The Dirty Truth,2019,https://boxd.it/l82U,
57,Other Side of the Box,2018,https://boxd.it/lXsa,
58,Abzurdah,2015,https://boxd.it/bWiS,
59,"Those Who Love, Hate",2017,https://boxd.it/h2wG,
60,The Quietude,2018,https://boxd.it/hmZo,
61,I'm Not Your Mom,2019,https://boxd.it/mvBK,
62,Lion's Heart,2013,https://boxd.it/6BDK,
63,Boy Erased,2018,https://boxd.it/gWxe,
64,Nadie puede ser tan malo haciendo café,2018,https://boxd.it/KGU2,
65,Carancho,2010,https://boxd.it/L9S,
66,Rodríguez y el cambio climático,2017,https://boxd.it/KUbA,
67,Your Son,2018,https://boxd.it/jt44,
68,Another Earth,2011,https://boxd.it/rRA,
69,4x4,2019,https://boxd.it/l8PC,
70,El Potro: Unstoppable,2018,https://boxd.it/kaYE,
71,Betibú,2014,https://boxd.it/7NM2,
72,Football or Me,2017,https://boxd.it/gKFq,
73,Baires,2015,https://boxd.it/dkzU,
74,The Lobster,2015,https://boxd.it/7tnw,
75,The Son,2019,https://boxd.it/maiW,
76,90 Minutes in Heaven,2015,https://boxd.it/bv1g,
77,12 Years a Slave,2013,https://boxd.it/2D2e,
78,Butcher Boys,2012,https://boxd.it/4Dga,
79,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
80,My Masterpiece,2018,https://boxd.it/jv20,
81,An Unexpected Love,2018,https://boxd.it/jvcO,
82,Clemency,2019,https://boxd.it/kIko,
83,Rojo,2018,https://boxd.it/jFtq,
84,White Coffin,2016,https://boxd.it/e0vq,
85,Los Marziano,2011,https://boxd.it/2eiw,
86,Necktie,2013,https://boxd.it/CfYA,
87,Amour,2012,https://boxd.it/34Q6,
88,The Distinguished Citizen,2016,https://boxd.it/enGc,
