Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-09-02,On the Line,2022,https://boxd.it/4MNHxf,1.5,,,2023-09-01
2023-09-03,Past Lives,2023,https://boxd.it/4N42O9,5,,,2023-09-02
2023-09-04,I Origins,2014,https://boxd.it/4Np6PR,5,,,2023-09-03
2023-09-05,An Argentinian in New York,1998,https://boxd.it/4NJKVZ,3.5,Yes,,2023-09-04
2023-09-06,Your Son,2018,https://boxd.it/4O2BMx,2.5,,,2023-09-05
2023-09-07,2:37,2006,https://boxd.it/4OiNvP,4,Yes,,2023-09-06
2023-09-08,4x4,2019,https://boxd.it/4OyUnZ,2.5,,,2023-09-07
2023-09-09,Truman,2015,https://boxd.it/4ONxFr,4,Yes,,2023-09-08
2023-09-10,No Hard Feelings,2023,https://boxd.it/4P7hnr,4,,,2023-09-09
2023-09-11,7 Boxes,2012,https://boxd.it/4Pt3zR,4.5,,,2023-09-10
2023-09-12,Remember Me,2010,https://boxd.it/4POu73,3.5,,,2023-09-11
2023-09-13,Miracle in Cell No. 7,2019,https://boxd.it/4Q48gJ,4,,,2023-09-12
2023-09-14,The Crowded Room,2023,https://boxd.it/4Qj56V,4.5,,,2023-09-13
2023-09-15,Burning Body,2023,https://boxd.it/4QyawJ,4,,,2023-09-14
2023-09-16,Killer Book Club,2023,https://boxd.it/4QMC47,3,,,2023-09-15
2023-09-17,Love at First Sight,2023,https://boxd.it/4R5irD,5,,,2023-09-16
2023-09-18,Infinity Pool,2023,https://boxd.it/4RoSiF,3.5,,,2023-09-17
2023-09-19,12 Years a Slave,2013,https://boxd.it/4RNhTz,2,,,2023-09-18
2023-09-20,18 Presents,2020,https://boxd.it/4S3bL7,4.5,,,2023-09-19
2023-09-21,When You Finish Saving The World,2022,https://boxd.it/4SfMFp,2.5,,,2023-09-20
2023-09-22,22 vs. Earth,2021,https://boxd.it/4SuOFr,3,,,2023-09-21
2023-09-23,Soul,2020,https://boxd.it/4SLDIN,4.5,,,2023-09-22
2023-09-24,Asteroid City,2023,https://boxd.it/4T2aL3,2,,,2023-09-23
2023-09-25,30 Nights with My Ex,2022,https://boxd.it/4TpWOl,3,,,2023-09-24
2023-09-26,90 Minutes in Heaven,2015,https://boxd.it/4TJt9X,2,,,2023-09-25
2023-09-27,365 Days,2020,https://boxd.it/4U0Sed,1.5,Yes,,2023-09-26
2023-09-28,365 Days: This Day,2022,https://boxd.it/4UgiBn,1,,,2023-09-27
2023-09-29,The Next 365 Days,2022,https://boxd.it/4UwAa7,0.5,,,2023-09-28
2023-09-30,The Wonderful Story of Henry Sugar,2023,https://boxd.it/4UNbuZ,4.5,Yes,,2023-09-29
2023-10-01,"Red, White & Royal Blue",2023,https://boxd.it/4V8h9l,3,,,2023-09-30
2023-10-02,The Disappearance of Eleanor Rigby: Him,2013,https://boxd.it/4Vu1Or,3.5,,,2023-10-01
2023-10-03,The Accused,2018,https://boxd.it/4VSe8h,3.5,Yes,,2023-10-02
2023-10-04,A Mother's Son,2012,https://boxd.it/4WcPOp,4,,,2023-10-03
2023-10-05,The Heist of the Century,2020,https://boxd.it/4WvtSH,4,Yes,,2023-10-04
2023-10-06,(500) Days of Summer,2009,https://boxd.it/4WOlsJ,4.5,Yes,,2023-10-05
2023-10-07,Amour,2012,https://boxd.it/4X7vK7,0.5,,,2023-10-06
2023-10-08,An Unexpected Love,2018,https://boxd.it/4XqXor,1,,,2023-10-07
2023-10-09,The Weasel's Tale,2019,https://boxd.it/4XLu2D,4,,,2023-10-08
2023-10-10,Clemency,2019,https://boxd.it/4YcJbT,1,,,2023-10-09
2023-10-11,Strange Way of Life,2023,https://boxd.it/4YvP1D,3.5,,,2023-10-10
2023-10-12,The Disappearance of Eleanor Rigby: Her,2013,https://boxd.it/4YReqv,3.5,,,2023-10-11
2023-10-13,Unpregnant,2020,https://boxd.it/4Z94CR,4,,,2023-10-12
2023-10-14,Bodies Bodies Bodies,2022,https://boxd.it/4Zt9FL,4,,,2023-10-13
2023-10-15,9 Songs,2004,https://boxd.it/4ZLMrJ,3,Yes,,2023-10-14
2023-10-16,Blondi,2023,https://boxd.it/50b2d9,4,,,2023-10-15
2023-10-17,Bottoms,2023,https://boxd.it/50xYXX,4.5,,,2023-10-16
2023-10-18,Watcher,2022,https://boxd.it/50RqeJ,4,,,2023-10-17
2023-10-19,The Son,2022,https://boxd.it/517saV,4.5,,,2023-10-18
2023-10-20,The Girl from Uruguay,2022,https://boxd.it/51ohhb,3.5,,,2023-10-19
2023-10-21,Lion's Heart,2013,https://boxd.it/51HhxB,3,Yes,,2023-10-20
2023-10-22,Adrift,2018,https://boxd.it/520bd9,4.5,,,2023-10-21
2023-10-23,Doomed,2014,https://boxd.it/52rFc5,4,Yes,,2023-10-22
2023-10-24,So Much Love to Give,2020,https://boxd.it/52O4Bj,2.5,,,2023-10-23
2023-10-25,The Swan,2023,https://boxd.it/5369vr,4,Yes,,2023-10-24
2023-10-26,The Rat Catcher,2023,https://boxd.it/53kZPr,1.5,Yes,,2023-10-25
2023-10-27,Poison,2023,https://boxd.it/53BDwL,4,Yes,,2023-10-26
2023-10-28,The Wild Children,2012,https://boxd.it/541gH9,3.5,,,2023-10-27
2023-10-29,White Coffin,2016,https://boxd.it/54nY79,1,,,2023-10-28
2023-10-30,Nowhere,2023,https://boxd.it/54L3nd,3.5,,,2023-10-29
2023-10-31,I'm Not Your Mom,2019,https://boxd.it/557CnL,3,Yes,,2023-10-30
2023-11-01,Vivarium,2019,https://boxd.it/55vtXt,3.5,,,2023-10-31
2023-11-02,Forgive Us Our Trespasses,2022,https://boxd.it/55VIMn,3,Yes,,2023-11-01
2023-11-03,Coco,2017,https://boxd.it/56dqUz,4.5,,,2023-11-02
2023-11-04,10 Things I Hate About You,1999,https://boxd.it/56yXOV,4.5,Yes,,2023-11-03
2023-11-05,Anita,2009,https://boxd.it/56UpkB,3.5,,,2023-11-04
2023-11-06,Fingernails,2023,https://boxd.it/57gpu1,4,,,2023-11-05
2023-11-07,Another Earth,2011,https://boxd.it/57CU0b,2.5,,,2023-11-06
2023-11-08,The After,2023,https://boxd.it/57WEeB,3.5,,,2023-11-07
2023-11-09,Mean Girls,2004,https://boxd.it/58bOBZ,5,Yes,,2023-11-08
2023-11-10,El castigo,2022,https://boxd.it/58tHHH,4,,,2023-11-09
2023-11-11,Life Itself,2018,https://boxd.it/58LazL,4.5,,,2023-11-10
2023-11-12,Only You,2018,https://boxd.it/5960Dv,5,Yes,,2023-11-11
2023-11-13,My Love or My Passion,2017,https://boxd.it/59Dc81,2.5,,,2023-11-12
2023-11-14,We Need to Talk About Kevin,2011,https://boxd.it/59WnTP,3.5,Yes,,2023-11-13
2023-11-15,Purple Hearts,2022,https://boxd.it/5a6XzV,2.5,,,2023-11-14
2023-11-16,Fair Play,2023,https://boxd.it/5apeI7,3.5,,,2023-11-15
2023-11-17,When Evil Lurks,2023,https://boxd.it/5aFOnL,4,,,2023-11-16
2023-11-18,Soulmates,2020,https://boxd.it/5b4l0j,3.5,,,2023-11-17
2023-11-19,Animal,2018,https://boxd.it/5bie0T,3.5,,,2023-11-18
2023-11-20,Inseparables,2016,https://boxd.it/5bB6u5,3.5,,,2023-11-19
2023-11-21,Normal People,2020,https://boxd.it/5c9ytR,5,Yes,,2023-11-20
2023-11-22,Rojo,2018,https://boxd.it/5cmy57,1,,,2023-11-21
2023-11-24,The Lobbyist,2018,https://boxd.it/5cVTyJ,3.5,,,2023-11-22
2023-11-24,Wandering Heart,2021,https://boxd.it/5cVXxl,4,,,2023-11-23
2023-11-25,The Clan,2015,https://boxd.it/5df6ZL,4,,,2023-11-24
2023-11-26,Historia de un clan,2015,https://boxd.it/5dyZDN,3.5,,,2023-11-25
2023-11-27,The Lost Brother,2017,https://boxd.it/5dZ2J7,4,,,2023-11-26
2023-11-28,Boy Erased,2018,https://boxd.it/5ewB1P,2.5,,,2023-11-27
2023-11-29,The Intruder,2020,https://boxd.it/5ePWT7,3,,,2023-11-28
2023-11-30,I Don't Expect Anyone to Believe Me,2023,https://boxd.it/5f6EPv,3.5,,,2023-11-29
2023-12-01,Elena Knows,2023,https://boxd.it/5foq7P,4,,,2023-11-30
2023-12-02,"Those Who Love, Hate",2017,https://boxd.it/5fHrkN,3,,,2023-12-01
2023-12-03,The Killer,2023,https://boxd.it/5g2XdB,1,,,2023-12-02
2023-12-04,The Holdovers,2023,https://boxd.it/5gpiRL,5,,,2023-12-03
2023-12-06,The Quietude,2018,https://boxd.it/5h8SoF,3,,,2023-12-04
2023-12-06,Barbie,2023,https://boxd.it/5h92nR,4.5,,,2023-12-05
2023-12-07,The Sleepwalkers,2019,https://boxd.it/5hsWA1,3.5,,,2023-12-06
2023-12-08,"Love, Rosie",2014,https://boxd.it/5hK1C1,4.5,,,2023-12-07
2023-12-09,Sunstrokes,2014,https://boxd.it/5i2V7J,3.5,,,2023-12-08
2023-12-10,"River, el más grande siempre",2019,https://boxd.it/5inuJj,5,,,2023-12-09
2023-12-11,Begin Again,2013,https://boxd.it/5iQzyD,3.5,,,2023-12-10
2023-12-12,May December,2023,https://boxd.it/5jcjwP,4.5,,,2023-12-11
2023-12-13,Daisy Jones & the Six,2023,https://boxd.it/5jzryZ,5,Yes,,2023-12-12
2023-12-14,Full Circle,2023,https://boxd.it/5jTuPz,3.5,,,2023-12-13
