Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-11-23,5-Star ⭐ TV Shows,,https://boxd.it/ACVa4,"The best of the best, according to my feelings.

[This list is continually in progress.]
"

Position,Name,Year,URL,Description
1,Normal People,2020,https://boxd.it/q2VY,
2,A Perfect Story,2023,https://boxd.it/HSRI,
3,One Day,2024,https://boxd.it/L1ZM,
4,The Time It Takes,2021,https://boxd.it/yT0C,
5,Daisy Jones & the Six,2023,https://boxd.it/FmyA,
6,Sharp Objects,2018,https://boxd.it/j3NM,
7,Baby Reindeer,2024,https://boxd.it/MwSa,
8,Behind Her Eyes,2021,https://boxd.it/qin4,
9,The Class: Life After,2010,https://boxd.it/B7oi,
