Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-01,60s-70s Ranked,"70s, 70sranked, top, top70s, 60s, 60sranked, top60s, ranked",https://boxd.it/tu9ZY,"All the movies, short films, documentaries, tv shows and miniseries released between 1960 and 1979 that I’ve seen."

Position,Name,Year,URL,Description
1,The Last Picture Show,1971,https://boxd.it/1weg,
2,Lovefilm,1970,https://boxd.it/2KTu,
3,Rocco and His Brothers,1960,https://boxd.it/20bG,
4,Romeo and Juliet,1968,https://boxd.it/22cQ,
5,Dont Look Back,1967,https://boxd.it/2b3y,
6,Italianamerican,1974,https://boxd.it/3deg,
7,Purple Noon,1960,https://boxd.it/1WrU,
8,The Hero,1966,https://boxd.it/3MJI,
9,Blow-Up,1966,https://boxd.it/2966,
10,A Charlie Brown Christmas,1965,https://boxd.it/1QDq,
11,In the Heat of the Night,1967,https://boxd.it/1VLY,
12,Picnic at Hanging Rock,1975,https://boxd.it/1UQe,
13,Beach Party,1963,https://boxd.it/1tNW,
14,Rollercoaster,1977,https://boxd.it/1VGa,
15,Chinatown,1974,https://boxd.it/29vU,
16,The Big Shave,1967,https://boxd.it/HO8,
17,A Clockwork Orange,1971,https://boxd.it/2aVE,
18,Suspiria,1977,https://boxd.it/1SNW,
19,The Truce,1974,https://boxd.it/4aQ4,
20,Boxcar Bertha,1972,https://boxd.it/1A58,
21,Santo vs. Doctor Death,1973,https://boxd.it/6lSY,
22,The Little Soldier,1963,https://boxd.it/CRm,
23,8½,1963,https://boxd.it/2aqm,
24,The Amputee,1974,https://boxd.it/HtO,
25,The Perfect Human,1968,https://boxd.it/TRy,
26,Wanda,1970,https://boxd.it/2OjK,
