Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-01,90s Ranked,"90s, 90sranked, top, top90s",https://boxd.it/tuacI,"All the movies, short films, documentaries, tv shows and miniseries released between 1990 and 1999 that I’ve seen."

Position,Name,Year,URL,Description
1,Home Alone,1990,https://boxd.it/29Fg,
2,Home Alone 2: Lost in New York,1992,https://boxd.it/29F6,
3,Weekend at Bernie's II,1993,https://boxd.it/204K,
4,Thesis,1996,https://boxd.it/1Z1U,
5,10 Things I Hate About You,1999,https://boxd.it/23AO,
6,The Basketball Diaries,1995,https://boxd.it/1WaO,
7,Lovers of the Arctic Circle,1998,https://boxd.it/28NS,
8,An Argentinian in New York,1998,https://boxd.it/7Hte,
9,Inventing the Abbotts,1997,https://boxd.it/1Rku,
10,"De Tripas, Corazón",1996,https://boxd.it/7c3a,
11,Twister,1996,https://boxd.it/29S0,
12,Dennis the Menace,1993,https://boxd.it/1SrQ,
13,She's All That,1999,https://boxd.it/1Wz0,
