Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-04-10,Ariel Winograd Ranked,"top, ranked, ariel winograd, ariel winograd ranked",https://boxd.it/TNNSA,"All the movies and tv shows directed by <a href=""https://boxd.it/1R5H""><i>Ariel Winograd<i></a> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,That's Not Cheating,2016,https://boxd.it/e24G,
2,The Heist of the Century,2020,https://boxd.it/mvuY,
3,Menem: The President Show,2025,https://boxd.it/WDRy,
4,"Coppola, the Agent",2024,https://boxd.it/MNsI,
5,Today We Fix the World,2022,https://boxd.it/oqjU,
6,My First Wedding,2011,https://boxd.it/31zQ,
7,El gerente,2022,https://boxd.it/z7sg,
8,10 Days Without Mom,2017,https://boxd.it/gK4u,
