Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-27,Cortometrajes en español,"cortometrajes, español, top, ranking",https://boxd.it/z4XPc,"All the short films (less than 40 minutes) in Spanish that I’ve seen.

Todos los cortometrajes, de menos de 40 minutos, en español que he visto."

Position,Name,Year,URL,Description
1,Lo de aquella noche,2020,https://boxd.it/vudg,
2,Pendulum,1981,https://boxd.it/bERA,
3,Verano ’78,2024,https://boxd.it/O2FE,
4,The Darkest Darkness,2023,https://boxd.it/G5is,
5,Error 404,2016,https://boxd.it/nGRQ,
6,La empresa,2020,https://boxd.it/KGTI,
7,Abrazo Ceñido,2024,https://boxd.it/SGxS,
8,"De Tripas, Corazón",1996,https://boxd.it/7c3a,
9,Piggy,2018,https://boxd.it/inVu,
10,Room for Rent,2019,https://boxd.it/LpB0,
11,Calladita,2020,https://boxd.it/svIS,
12,Before the Eruption,2021,https://boxd.it/uneu,
13,A quien dices amar,2019,https://boxd.it/oc6i,
14,Cenizas pasajeras,2024,https://boxd.it/M6Fa,
15,La Silla Vacía,2019,https://boxd.it/wcKe,
16,Sea Sparkles,2022,https://boxd.it/D1k4,
17,Nadie puede ser tan malo haciendo café,2018,https://boxd.it/KGU2,
18,Double Ticks,2011,https://boxd.it/bl8G,
19,The Screamers,2010,https://boxd.it/9fbg,
20,Panic Attack!,2009,https://boxd.it/31Dy,
21,Yí (Endless River),2020,https://boxd.it/uqx0,
22,Rodríguez y el cambio climático,2017,https://boxd.it/KUbA,
23,The May Revolution,1909,https://boxd.it/6RkE,
24,El vecino ruidoso,2016,https://boxd.it/x9yG,
25,Eat My Shit,2015,https://boxd.it/aAhw,
