Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-05-10,David Fincher Ranked,"top, ranked, david fincher, david fincher ranked",https://boxd.it/Umuli,"All the movies directed by <a href=""https://boxd.it/2lkd""><i>David Fincher<i></a> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Se7en,1995,https://boxd.it/29zs,
2,Fight Club,1999,https://boxd.it/2a9q,
3,Gone Girl,2014,https://boxd.it/6hQu,
4,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,
5,The Social Network,2010,https://boxd.it/17ue,
6,Panic Room,2002,https://boxd.it/2490,
7,The Killer,2023,https://boxd.it/u6WE,
