Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-03-21,ISER - Instituto Superior de Enseñanza Radiofónica,"top, ranked, iser, instituto superior de enseñanza radiofónica",https://boxd.it/Tlc8u,"Todas las películas incluidas en el examen de ingreso 2012 para la carrera de Producción y Dirección para Radio y Televisión del ISER (Instituto Superior de Enseñanza Radiofónica) que he visto, clasificadas de mejor a peor según mi opinión.

All the movies from the 2012 ISER (Instituto Superior de Enseñanza Radiofónica) entrance exam for the Radio and TV Production and Direction program that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,The Butterfly Effect,2004,https://boxd.it/27M0,
2,36th Precinct,2004,https://boxd.it/212A,
3,Moulin Rouge!,2001,https://boxd.it/29wI,
4,Match Point,2005,https://boxd.it/2b6s,
5,On Probation,2005,https://boxd.it/2Ivq,
6,Apocalypse Now,1979,https://boxd.it/6ZS,
7,Natural Born Killers,1994,https://boxd.it/2aNg,
8,Broadcast News,1987,https://boxd.it/1RxS,
9,Dangerous Liaisons,1988,https://boxd.it/29r4,
10,The Method,2005,https://boxd.it/1CuE,
11,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,https://boxd.it/vtC,
12,Blade Runner,1982,https://boxd.it/2bcA,
