Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-21,Marcos Carnevale Ranked,"top, ranked, marcos carnevale, marcos carnevale ranked",https://boxd.it/SJUbw,"All the movies directed by <a href=""https://boxd.it/wxN""><i>Marcos Carnevale<i></a> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Goyo,2024,https://boxd.it/JcbO,
2,Anita,2009,https://boxd.it/1nQq,
3,Más respeto que soy tu madre,2022,https://boxd.it/w1AM,
4,Inseparables,2016,https://boxd.it/eMfU,
5,All Hail,2022,https://boxd.it/prVs,
6,I'm Not Your Mom,2019,https://boxd.it/mvBK,
7,Lion's Heart,2013,https://boxd.it/6BDK,
8,Football or Me,2017,https://boxd.it/gKFq,
9,So Much Love to Give,2020,https://boxd.it/oBXQ,
10,Widows,2011,https://boxd.it/2PtG,
