Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-02-27,Martin Scorsese Ranked,"top, ranked, martin scorsese, martin scorsese ranked",https://boxd.it/SSunk,"All the movies and short films directed by <a href=""https://boxd.it/2UVt""><i>Martin Scorsese<i></a> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Taxi Driver,1976,https://boxd.it/2b8y,
2,The Wolf of Wall Street,2013,https://boxd.it/3C1m,
3,Shutter Island,2010,https://boxd.it/1U82,
4,Italianamerican,1974,https://boxd.it/3deg,
5,After Hours,1985,https://boxd.it/1VfS,
6,The Irishman,2019,https://boxd.it/dYOq,
7,The Big Shave,1967,https://boxd.it/HO8,
8,Boxcar Bertha,1972,https://boxd.it/1A58,
9,The Age of Innocence,1993,https://boxd.it/1WgM,
10,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
