Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-01,"Mi país, mi país 🇦🇷","argentina, argentinaranked, top, topargentina",https://boxd.it/tufDu,"All the Argentinian movies, short films, documentaries, tv shows and miniseries that I’ve seen, ranked from best to worst according to my opinion.

Todas las películas, cortometrajes, documentales, series y miniseries argentinas que he visto, clasificados de mejor a peor según mi opinión."

Position,Name,Year,URL,Description
1,The Secret in Their Eyes,2009,https://boxd.it/1vWw,
2,Nine Queens,2000,https://boxd.it/1HBA,
3,Wild Tales,2014,https://boxd.it/7UmK,
4,Waiting for the Hearse,1985,https://boxd.it/1PIa,
5,Club Hooligans,2023,https://boxd.it/WUsK,
6,Sidewalls,2011,https://boxd.it/2EiM,
7,The Official Story,1985,https://boxd.it/1nS2,
8,The Virgin of the Quarry Lake,2025,https://boxd.it/wAJ0,
9,"River, el más grande siempre",2019,https://boxd.it/mcNM,
10,Pendulum,1980,https://boxd.it/bERA,
11,The Boss: Anatomy of a Crime,2014,https://boxd.it/a8p8,
12,Gunman,2025,https://boxd.it/TGZk,
13,La Ciénaga,2001,https://boxd.it/kpk,
14,White Elephant,2012,https://boxd.it/3IeG,
15,The Tangalanga Method,2022,https://boxd.it/Dn48,
16,Los justos,2024,https://boxd.it/whPS,
17,¡Atraco!,2012,https://boxd.it/4rnS,
18,At the End of the Tunnel,2016,https://boxd.it/dN92,
19,Truman,2015,https://boxd.it/bocw,
20,The Heist of the Century,2020,https://boxd.it/mvuY,
21,Caught,2025,https://boxd.it/TY0k,
22,El Angel,2018,https://boxd.it/ilA0,
23,Carmel: Who Killed Maria Marta?,2020,https://boxd.it/sDz0,
24,The Darkest Darkness,2023,https://boxd.it/G5is,
25,The Clan,2015,https://boxd.it/bQmO,
26,The Punishment,2022,https://boxd.it/Cx0I,
27,9,2021,https://boxd.it/xPEm,
28,Wandering Heart,2021,https://boxd.it/rT7Y,
29,An Argentinian in New York,1998,https://boxd.it/7Hte,
30,Super Crazy,2018,https://boxd.it/iAN4,
31,27 Nights,2025,https://boxd.it/OFnE,
32,Mazel Tov,2025,https://boxd.it/PKpW,
33,The Woman in the Line,2025,https://boxd.it/JgZy,
34,Just Like Me,2010,https://boxd.it/GW6,
35,Belén,2025,https://boxd.it/NF6c,
36,I'm Gilda,2016,https://boxd.it/eHMk,
37,Thesis on a Homicide,2013,https://boxd.it/5cm8,
38,Bad Christmas,2021,https://boxd.it/nmSa,
39,The Lost Brother,2017,https://boxd.it/fWSO,
40,The Weasel's Tale,2019,https://boxd.it/l5f2,
41,A Boyfriend for My Wife,2008,https://boxd.it/1Juw,
42,Goyo,2024,https://boxd.it/JcbO,
43,When Evil Lurks,2023,https://boxd.it/rXBe,
44,Anita,2009,https://boxd.it/1nQq,
45,Today We Fix the World,2022,https://boxd.it/oqjU,
46,Algo que pasó en Año Nuevo,2022,https://boxd.it/CsG0,
47,The Crimes That Bind,2020,https://boxd.it/nrXk,
48,Yiya,2025,https://boxd.it/ZhQk,
49,I Choose to Believe,2023,https://boxd.it/Jerk,
50,Error 404,2016,https://boxd.it/nGRQ,
51,Abrazo Ceñido,2024,https://boxd.it/SGxS,
52,Rest in Peace,2024,https://boxd.it/FPFU,
53,The Accused,2018,https://boxd.it/iPiU,
54,Animal,2018,https://boxd.it/i2tu,
55,Historia de un clan,2015,https://boxd.it/vEHg,
56,The Girl from Uruguay,2022,https://boxd.it/xgQW,
57,Inseparables,2016,https://boxd.it/eMfU,
58,Time Flies,2026,https://boxd.it/10dCg,
59,The Blue Box,2026,https://boxd.it/10uWi,
60,The Sleepwalkers,2019,https://boxd.it/mZOO,
61,The Lobbyist,2018,https://boxd.it/HLGS,
62,Maledictions,2025,https://boxd.it/XAeU,
63,My First Wedding,2011,https://boxd.it/31zQ,
64,Chinese Take-Away,2011,https://boxd.it/2eGy,
65,Little Lies,2022,https://boxd.it/vsgi,
66,The Truce,1974,https://boxd.it/4aQ4,
67,Sunstrokes,2014,https://boxd.it/95ou,
68,Young Hunter,2020,https://boxd.it/n5Gc,
69,Dark Buildings (A Crack in the Wall),2018,https://boxd.it/i2hS,
70,Room for Rent,2019,https://boxd.it/LpB0,
71,Abzurdah,2015,https://boxd.it/bWiS,
