Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-27,Miniseries Ranked,"miniseries, tvshows, limitedseries, top, ranked",https://boxd.it/z4Xog,"All the tv shows, miniseries or limited series that I’ve seen."

Position,Name,Year,URL,Description
1,Normal People,2020,https://boxd.it/q2VY,
2,A Perfect Story,2023,https://boxd.it/HSRI,
3,One Day,2024,https://boxd.it/L1ZM,
4,The Time It Takes,2021,https://boxd.it/yT0C,
5,Daisy Jones & the Six,2023,https://boxd.it/FmyA,
6,No One Will Miss Us,2024,https://boxd.it/ScO0,
7,Sharp Objects,2018,https://boxd.it/j3NM,
8,Apple Cider Vinegar,2025,https://boxd.it/SMcm,
9,HIS & HERS,2026,https://boxd.it/103iK,
10,Monsters: The Lyle and Erik Menendez Story,2024,https://boxd.it/QlGq,
11,The Girlfriend,2025,https://boxd.it/XA9A,
12,Adolescence,2025,https://boxd.it/TFGw,
13,Senna,2024,https://boxd.it/RFFa,
14,Baby Reindeer,2024,https://boxd.it/MwSa,
15,Behind Her Eyes,2021,https://boxd.it/qin4,
16,Disclaimer,2024,https://boxd.it/PDv4,
17,The Class: Life After,2010,https://boxd.it/B7oi,
18,Don't F**k with Cats: Hunting an Internet Killer,2019,https://boxd.it/oqjq,
19,The Crowded Room,2023,https://boxd.it/GViY,
20,Fellow Travelers,2023,https://boxd.it/Jdwe,
21,DAHMER - Monster: The Jeffrey Dahmer Story,2022,https://boxd.it/CRG0,
22,Bodyguard,2018,https://boxd.it/vC2U,
23,Raising Voices,2024,https://boxd.it/NCN8,
24,The Curse,2023,https://boxd.it/IWYq,
25,Love After Music,2023,https://boxd.it/Gwd0,
26,See You in Another Life,2024,https://boxd.it/M0Bm,
27,Chespirito: Not Really on Purpose,2025,https://boxd.it/VL3E,
28,Caught,2025,https://boxd.it/TY0k,
29,Bonnie & Clyde,2013,https://boxd.it/Losw,
30,Carmel: Who Killed Maria Marta?,2020,https://boxd.it/sDz0,
31,Doomed,2014,https://boxd.it/xmjk,
32,Burning Body,2023,https://boxd.it/ICuq,
33,The Walking Dead: The Ones Who Live,2024,https://boxd.it/LCN4,
34,Hollywood,2020,https://boxd.it/q2VO,
35,Harlan Coben's Lazarus,2025,https://boxd.it/Z1Ug,
36,Expats,2024,https://boxd.it/I4xA,
37,A Mother's Son,2012,https://boxd.it/bsQg,
38,Someone Has to Die,2020,https://boxd.it/skxk,
39,Conversations with a Killer: The Ted Bundy Tapes,2019,https://boxd.it/lhay,
40,Yiya,2025,https://boxd.it/ZhQk,
41,Letters from the Past,2025,https://boxd.it/WGuM,
42,Historia de un clan,2015,https://boxd.it/vEHg,
43,Full Circle,2023,https://boxd.it/HpFI,
44,Missing You,2025,https://boxd.it/S5sm,
45,Time Flies,2026,https://boxd.it/10dCg,
46,Kiss Me First,2018,https://boxd.it/pOcU,
47,The Lobbyist,2018,https://boxd.it/HLGS,
48,Maledictions,2025,https://boxd.it/XAeU,
49,Appropriate Adult,2011,https://boxd.it/6crE,
50,Call Me Francis,2015,https://boxd.it/cROm,
