Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-09,Movies for Crying 💔,"top, ranked, 💔, movies for crying",https://boxd.it/Ky7yW,"All the movies and TV shows that made me cry a lot, from <i>'sobbing uncontrollably'<i> to <i>'just quietly destroyed me'<i>.

[This list is continually in progress.]"

Position,Name,Year,URL,Description
1,Aftersun,2022,https://boxd.it/Arw0,
2,Before Sunrise,1995,https://boxd.it/2bcU,
3,Little Fish,2020,https://boxd.it/lAFK,
4,Only You,2018,https://boxd.it/iAMg,
5,Beautiful Boy,2018,https://boxd.it/g76Q,
6,The Holdovers,2023,https://boxd.it/vHza,
7,I Origins,2014,https://boxd.it/7aRM,
8,Dogfight,1991,https://boxd.it/1NCk,
9,In the Mood for Love,2000,https://boxd.it/29tE,
10,The Last Letter from Your Lover,2021,https://boxd.it/nGzM,
11,The Iron Claw,2023,https://boxd.it/w5Pm,
12,Blue Valentine,2010,https://boxd.it/MxG,
13,Adrift,2018,https://boxd.it/fdiG,
14,Love & Other Drugs,2010,https://boxd.it/UIi,
15,Like Crazy,2011,https://boxd.it/g4s,
16,We Live in Time,2024,https://boxd.it/FC5u,
17,Past Lives,2023,https://boxd.it/oNB8,
18,Love at First Sight,2023,https://boxd.it/bUmS,
19,A Walk to Remember,2002,https://boxd.it/1WLq,
20,The Life List,2025,https://boxd.it/LN3c,
21,The Greatest Hits,2024,https://boxd.it/CdIg,
22,18 Presents,2020,https://boxd.it/nmmo,
23,The Map That Leads to You,2025,https://boxd.it/O5uk,
24,My Oxford Year,2025,https://boxd.it/NSLi,
25,One Day,2011,https://boxd.it/Asu,
26,Life Itself,2018,https://boxd.it/fUda,
27,Man in Love,2021,https://boxd.it/u1t8,
28,All of Us Strangers,2023,https://boxd.it/Bz3C,
29,About Time,2013,https://boxd.it/43bI,
30,Atonement,2007,https://boxd.it/24ui,
31,Letters to Juliet,2010,https://boxd.it/19aK,
32,Coco,2017,https://boxd.it/bYJQ,
33,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,
