Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-11,Music Biopics 🎵,"top, ranked, music biopics, music, biopics",https://boxd.it/KEy4c,"All the music biopics that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Rocketman,2019,https://boxd.it/iehK,
2,Bohemian Rhapsody,2018,https://boxd.it/f1TK,
3,"Disco, Ibiza, Locomía",2024,https://boxd.it/HxCi,
4,A Complete Unknown,2024,https://boxd.it/oBYa,
5,Love After Music,2023,https://boxd.it/Gwd0,
6,Latin Blood – The Ballad of Ney Matogrosso,2025,https://boxd.it/JZCY,
7,Maria,2024,https://boxd.it/Dh4c,
8,I'm Gilda,2016,https://boxd.it/eHMk,
9,El Potro: Unstoppable,2018,https://boxd.it/kaYE,
