Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-12-30,Palme d'Or Winners Ranked,"top, ranked, palme d'or, palme d'or winners, palme d'or winners ranked",https://boxd.it/R5ufI,"All the <i>Palme d'Or<i> winners, the most prestigious prize at the <i>Cannes Film Festival<i>, that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,"sex, lies, and videotape",1989,https://boxd.it/28Oc,
2,Taxi Driver,1976,https://boxd.it/2b8y,
3,Parasite,2019,https://boxd.it/hTha,
4,Anora,2024,https://boxd.it/Egcw,
5,Anatomy of a Fall,2023,https://boxd.it/yuDE,
6,"Paris, Texas",1984,https://boxd.it/29Ts,
7,The Tree of Life,2011,https://boxd.it/1Zu8,
8,Apocalypse Now,1979,https://boxd.it/6ZS,
9,Triangle of Sadness,2022,https://boxd.it/hXlq,
10,It Was Just an Accident,2025,https://boxd.it/TX2k,
11,Blow-Up,1966,https://boxd.it/2966,
12,Elephant,2003,https://boxd.it/287i,
13,Amour,2012,https://boxd.it/34Q6,
