Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-03-08,Plano secuencia | Sequence-shots Ranked,"top, ranked, sequence-shot, plano-secuencia",https://boxd.it/ESdDE,"Todas las películas y miniseries rodadas en un único plano secuencia, real o editado, o con extensos y relevantes sequence-shots, que yo haya visto."

Position,Name,Year,URL,Description
1,Victoria,2015,https://boxd.it/amSe,
2,The Secret in Their Eyes,2009,https://boxd.it/1vWw,
3,Adolescence,2025,https://boxd.it/TFGw,
4,The Collapse,2019,https://boxd.it/rx5c,
5,Utøya: July 22,2018,https://boxd.it/i3a4,
6,Atonement,2007,https://boxd.it/24ui,
7,Irreversible,2002,https://boxd.it/29as,
8,Gravity,2013,https://boxd.it/GZY,
9,Causality,2021,https://boxd.it/usp8,
10,El castigo,2022,https://boxd.it/Cx0I,
11,Elephant,2003,https://boxd.it/287i,
12,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
