Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-03-01,Pre-60 Ranked,"top, pre60, pre60ranked, toppre60",https://boxd.it/tu9VW,"All the movies, short films, documentaries, tv shows and miniseries released before 1960 that I’ve seen."

Position,Name,Year,URL,Description
1,Modern Times,1936,https://boxd.it/25MC,
2,A Trip to the Moon,1902,https://boxd.it/29EC,
3,The Train Wreckers,1905,https://boxd.it/5UK4,
4,Life in Holland,1911,https://boxd.it/lcd8,
5,The Great Train Robbery,1903,https://boxd.it/22JU,
6,Sallie Gardner at a Gallop,1878,https://boxd.it/5QQi,
7,The Infernal Cauldron,1903,https://boxd.it/1K2I,
8,A Romance of the Rail,1903,https://boxd.it/4Gny,
9,May revolution,1909,https://boxd.it/6RkE,
10,The Haunted Castle,1896,https://boxd.it/4jBs,
11,Childish Dreams,1910,https://boxd.it/9E2I,
12,A Romance of the Rails,1912,https://boxd.it/OLf2,
13,The Doll's Revenge,1907,https://boxd.it/wyJ8,
14,At the Hypnotist's,1898,https://boxd.it/3YAy,
15,At the Photographer's,1900,https://boxd.it/3YyC,
16,Turn-of-the-Century Surgery,1900,https://boxd.it/3Yyi,
17,The '?' Motorist,1906,https://boxd.it/4is0,
18,Blacksmithing Scene,1893,https://boxd.it/1JSS,
19,The Kiss,1882,https://boxd.it/kOza,
20,Fishing for Goldfish,1895,https://boxd.it/4beA,
21,The Cavalier's Dream,1898,https://boxd.it/hlq8,
22,Newark Athlete,1891,https://boxd.it/3z3k,
23,Faust: Appearance of Mephistopheles,1897,https://boxd.it/5OBg,
24,The Kiss,1896,https://boxd.it/3i7u,
25,A Nightmare,1896,https://boxd.it/3y7g,
26,Automated Hat-Maker and Sausage-Grinder,1900,https://boxd.it/3YyM,
27,Female Conscripts,1908,https://boxd.it/5Vey,
28,Electrocuting an Elephant,1903,https://boxd.it/4BnS,
