Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-07-05,r/Letterboxd Film Raffle - Film Club Ranked,"top, ranked, LBFILMRAFFLE, LBFILMCLUB",https://boxd.it/wNxge,"All the movies, short films, documentaries, tv shows and miniseries recommended in <i>r/Letterboxd Film Raffle<i> and <i>r/Letterboxd - Film Club<i> that I’ve seen.

<a href=""https://boxd.it/NcW1"">r/Letterboxd</a>"

Position,Name,Year,URL,Description
1,Before Sunrise,1995,https://boxd.it/2bcU,
2,Lady Bird,2017,https://boxd.it/dGNE,
3,Good Time,2017,https://boxd.it/fcFu,
4,Whiplash,2014,https://boxd.it/7bQA,
5,Memories of Murder,2003,https://boxd.it/1TSo,
6,The Shop Around the Corner,1940,https://boxd.it/1DFy,
7,Modern Times,1936,https://boxd.it/25MC,
8,12 Angry Men,1957,https://boxd.it/2auI,
9,"Paris, Texas",1984,https://boxd.it/29Ts,
10,Bacurau,2019,https://boxd.it/fSUG,
11,Mulholland Drive,2001,https://boxd.it/297o,
12,Her,2013,https://boxd.it/4O24,
13,The Social Network,2010,https://boxd.it/17ue,
14,Mystic Pizza,1988,https://boxd.it/1UpC,
15,Hit Man,2023,https://boxd.it/ANB2,
16,Man in Love,2021,https://boxd.it/u1t8,
17,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
18,Femme,2023,https://boxd.it/ASQw,
19,Talk to Me,2022,https://boxd.it/C6uQ,
20,Heat,1995,https://boxd.it/2bg8,
21,The Silence of the Lambs,1991,https://boxd.it/2aHW,
22,Fargo,1996,https://boxd.it/2aHM,
23,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,
24,Oddity,2024,https://boxd.it/K9pg,
25,Under the Silver Lake,2018,https://boxd.it/dSAs,
26,Shiva Baby,2020,https://boxd.it/oIv0,
27,Shaun of the Dead,2004,https://boxd.it/29J8,
28,Beau Travail,1999,https://boxd.it/1NI8,
29,Joy Ride,2001,https://boxd.it/1Vca,
30,The Way Way Back,2013,https://boxd.it/4Gwq,
31,Fear and Loathing in Las Vegas,1998,https://boxd.it/27Xs,
32,Labyrinth,1986,https://boxd.it/1POC,
33,Chinatown,1974,https://boxd.it/29vU,
34,The Green Knight,2021,https://boxd.it/kuy2,
35,Nope,2022,https://boxd.it/sDCe,
36,Blow Out,1981,https://boxd.it/1TlE,
37,Look Back,2024,https://boxd.it/LjA6,
38,Suspiria,1977,https://boxd.it/1SNW,
39,Brazil,1985,https://boxd.it/2be2,
40,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
