Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-27,Short films Ranked,"top, shortfilms, ranked",https://boxd.it/z4XCs,All the short films (less than 40 minutes) that I’ve seen.

Position,Name,Year,URL,Description
1,Trunk,2008,https://boxd.it/8ZJQ,
2,Lo de aquella noche,2020,https://boxd.it/vudg,
3,Pendulum,1981,https://boxd.it/bERA,
4,Verano ’78,2024,https://boxd.it/O2FE,
5,Paperman,2012,https://boxd.it/4uYW,
6,Wake Me Up When September Ends,2005,https://boxd.it/Q8rW,
7,Jesus of Suburbia,2005,https://boxd.it/qv7y,
8,An Almost Christmas Story,2024,https://boxd.it/Qe3w,
9,"Red, White and Blue",2023,https://boxd.it/Jk6C,
10,Ciao Alberto,2021,https://boxd.it/x4F8,
11,Reality+,2014,https://boxd.it/cIEC,
12,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,
13,Me & You,2015,https://boxd.it/aX88,
14,You,2013,https://boxd.it/RrX0,
15,The Red Suitcase,2022,https://boxd.it/D3OA,
16,Knight of Fortune,2022,https://boxd.it/AGXg,
17,Save Ralph,2021,https://boxd.it/ux2o,
18,The Big Shave,1967,https://boxd.it/HO8,
19,Error 404,2016,https://boxd.it/nGRQ,
20,Laps,2017,https://boxd.it/hgOO,
21,La empresa,2020,https://boxd.it/KGTI,
22,A Trip to the Moon,1902,https://boxd.it/29EC,
23,Poison,2023,https://boxd.it/Is7Q,
24,The Swan,2023,https://boxd.it/Is80,
25,Whiplash,2013,https://boxd.it/cJds,
26,WAR IS OVER! Inspired by the Music of John & Yoko,2023,https://boxd.it/K4NW,
27,Take me Home,2012,https://boxd.it/h54q,
28,The Train Wreckers,1905,https://boxd.it/5UK4,
29,Life in Holland,1911,https://boxd.it/lcd8,
30,The Great Train Robbery,1903,https://boxd.it/22JU,
31,Sallie Gardner at a Gallop,1878,https://boxd.it/5QQi,
32,"De Tripas, Corazón",1996,https://boxd.it/7c3a,
33,Tuesday,2015,https://boxd.it/AJsU,
34,Piggy,2018,https://boxd.it/inVu,
35,Room for Rent,2019,https://boxd.it/LpB0,
36,Other Side of the Box,2018,https://boxd.it/lXsa,
37,Strange Way of Life,2023,https://boxd.it/Aomw,
38,The After,2023,https://boxd.it/Ikpi,
39,Calladita,2020,https://boxd.it/svIS,
40,A quien dices amar,2019,https://boxd.it/oc6i,
41,Hi Stranger,2016,https://boxd.it/fTfY,
42,Cenizas pasajeras,2024,https://boxd.it/M6Fa,
43,Freelance,2024,https://boxd.it/NYUq,
44,La Silla Vacía,2019,https://boxd.it/wcKe,
45,Gift,2015,https://boxd.it/dfpK,
46,The Infernal Cauldron,1903,https://boxd.it/1K2I,
47,A Romance of the Rail,1903,https://boxd.it/4Gny,
48,Sea Sparkles,2022,https://boxd.it/D1k4,
49,22 vs. Earth,2021,https://boxd.it/uyDA,
50,Forgive Us Our Trespasses,2022,https://boxd.it/z21u,
51,Nadie puede ser tan malo haciendo café,2018,https://boxd.it/KGU2,
52,Disco Inferno,2023,https://boxd.it/JdbU,
53,Double Ticks,2011,https://boxd.it/bl8G,
54,Yí (Endless River),2020,https://boxd.it/uqx0,
55,Rodríguez y el cambio climático,2017,https://boxd.it/KUbA,
56,9 Kisses,2014,https://boxd.it/bngM,
57,May revolution,1909,https://boxd.it/6RkE,
58,The Haunted Castle,1896,https://boxd.it/4jBs,
59,Childish Dreams,1910,https://boxd.it/9E2I,
60,A Romance of the Rails,1912,https://boxd.it/OLf2,
61,The Doll's Revenge,1907,https://boxd.it/wyJ8,
62,The '?' Motorist,1906,https://boxd.it/4is0,
63,Blacksmithing Scene,1893,https://boxd.it/1JSS,
64,The Kiss,1882,https://boxd.it/kOza,
65,Woman Jumping from Rock to Rock,,https://boxd.it/Nhio,
66,El vecino ruidoso,2016,https://boxd.it/x9yG,
67,Fishing for Goldfish,1895,https://boxd.it/4beA,
68,The Cavalier's Dream,1898,https://boxd.it/hlq8,
69,Newark Athlete,1891,https://boxd.it/3z3k,
70,The Last Brunch,2024,https://boxd.it/KXQm,
71,Faust: Appearance of Mephistopheles,1897,https://boxd.it/5OBg,
72,The Kiss,1896,https://boxd.it/3i7u,
73,A Nightmare,1896,https://boxd.it/3y7g,
74,The Rat Catcher,2023,https://boxd.it/Is8a,
75,Necktie,2013,https://boxd.it/CfYA,
76,Heart Shot,2022,https://boxd.it/z1mm,
77,Eat My Shit,2015,https://boxd.it/aAhw,
78,Electrocuting an Elephant,1903,https://boxd.it/4BnS,
