Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-07-15,Wattpad Adaptations Ranked,"top, ranked, wattpad adaptations, wattpad, adaptations",https://boxd.it/VH45Y,"All the <i>Wattpad<i> adaptations that I’ve watched, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,My Fault,2023,https://boxd.it/CcDk,
2,Sidelined: The QB and Me,2024,https://boxd.it/A8lW,
3,The Kissing Booth,2018,https://boxd.it/geR0,
4,Our Fault,2025,https://boxd.it/HKFE,
5,Tell Me Softly,2025,https://boxd.it/R7u8,
6,The Kissing Booth 2,2020,https://boxd.it/lrky,
7,Your Fault,2024,https://boxd.it/HKFk,
8,The Tearsmith,2024,https://boxd.it/GCSS,
9,Follow My Voice,2025,https://boxd.it/HhjY,
10,Through My Window: Across the Sea,2023,https://boxd.it/BkEI,
11,Through My Window,2022,https://boxd.it/uQGW,
12,Boulevard,2026,https://boxd.it/ZtNs,
13,Bad Influence,2025,https://boxd.it/OxaM,
14,Love Me Love Me,2026,https://boxd.it/OhwC,
