Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-08-02,Yorgos Lanthimos Ranked,"top, ranked, yorgos lanthimos, yorgos lanthimos ranked",https://boxd.it/MRujc,"All the movies and short films directed by <a href=""https://boxd.it/XLR""><i>Yorgos Lanthimos<i></a> that I’ve seen, ranked from best to worst according to my opinion."

Position,Name,Year,URL,Description
1,Bugonia,2025,https://boxd.it/qeWY,
2,Poor Things,2023,https://boxd.it/tNWU,
3,Dogtooth,2009,https://boxd.it/158K,
4,The Killing of a Sacred Deer,2017,https://boxd.it/dZ5G,
5,Kinds of Kindness,2024,https://boxd.it/CWPw,
6,Nimic,2019,https://boxd.it/n10Q,
7,The Lobster,2015,https://boxd.it/7tnw,
8,Venice 70: Future Reloaded,2013,https://boxd.it/6yhc,
