Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-11-18,Soulmates,2020,,3.5,,,2023-11-17
2024-01-07,The Wilds,2020,,4.5,Yes,,2024-01-06
2024-02-12,Making True Detective,2014,,5,Yes,,2024-02-11
2024-05-30,Maxton Hall: The World Between Us,2024,,4,,,2024-05-29
2024-06-07,The Little Things,2016,,4,Yes,,2024-06-06
2024-07-11,Cris Miró (She/Her/Hers),2024,,4.5,,,2024-07-10
2024-08-26,Woman Jumping from Rock to Rock,,,3,,,2024-08-25
2024-12-25,Dash & Lily – A Stormy Valentine's Day,2021,,5,,,2024-12-24
2025-01-17,Welcome to Lumon,2021,,5,,,2025-01-17
2025-03-22,Someday,2025,,4,,,2025-03-21
