Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2023-11-18,Soulmates,2020,,3.5,,"Fingernails podría ser, tranquilamente, un gran episodio de Soulmates.",,2023-11-17
2024-01-07,The Wilds,2020,,4.5,Yes,"Serie totalmente infravalorada, tal vez por su semejanza en la premisa con otras de más renombre. 

Girl power del bueno donde resaltan la empatía entre mujeres, el trabajo en equipo ante la adversidad, el dejar de ser personas individualistas para convertirse en un grupo, en una familia.

Una lástima su cancelación luego de la segunda temporada. Todavía quedaba mucho camino por desandar.",,2024-01-06
2024-02-12,Making True Detective,2014,,5,Yes,"Aprovecho el espacio para spoilear, por si abandonaron True Detective durante sus no tan convincentes segundas y terceras temporadas, que Night Country puede llegar a tener más conexiones con esta obra maestra de las que pensábamos inicialmente. Eso sí, su nivel es imposible de igualar.",,2024-02-11
2024-05-30,Maxton Hall: The World Between Us,2024,,4,,Sólo soy una chica llorando con todas las historias de <i>enemies to lovers<i> que vea.,,2024-05-29
2024-06-07,The Little Things,2016,,4,Yes,"¿Puede un cortometraje publicitario tener mensajes más lindos y esperanzadores que muchas series/películas? La respuesta es sí, <i>Las pequeñas cosas<i>.",,2024-06-06
2024-07-11,Cris Miró (She/Her/Hers),2024,,4.5,,"<i>Cris Miró<i> caminó para que muchas chicas puedan correr. Ícono. Esta miniserie, y <i>Mina Serrano<i>, llegaron para hacerle justicia.",,2024-07-10
2024-08-01,Green Day: Jesus of Suburbia,2005,,5,Yes,"<blockquote>“And there's nothin' wrong with me. This is how I'm supposed to be.”<blockquote>

Toda la tarde viendo en <i>MTV<i> los videoclips de <i>Green Day<i>, <i>Blink-182<i>, <i>The Offspring<i>, etc. ¡Qué buena adolescencia, lpm!

<a href=""https://boxd.it/HJPFs"">Music videos</a> | ",,2024-07-31
2024-08-26,Woman Jumping from Rock to Rock,,,3,,"<i>Eadweard Muybridge<i> utilizaba la desnudez como estudio de movimientos de la locomoción humana. Aquí, por lo menos, le puso una pollerita.",,2024-08-25
2024-09-08,Wake Me Up When September Ends,2005,,5,Yes,"<blockquote>“As my memory rests, but never forgets what I lost.”<blockquote>

Despiértenme cuando termine septiembre para que me vuelva a enamorar del <i>Jamie Bell<i> de este videoclip como en mi adolescencia.

<a href=""https://boxd.it/HJPFs"">Music videos</a> | <a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/tuaCm"">2000s Ranked</a>",,2024-09-07
2024-10-14,Save Ralph,2021,,4,,"<blockquote>“But at the end of the day, I mean, it's ok, we do it for the humans right?”<blockquote>

¡<i>Save Ralph<i>, save animals! 💚

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/tuer8"">2021 Ranked</a>",,2024-10-13
2024-11-07,9 Kisses,2014,,3,,"<i>Steve Carell<i> + <i>Laura Dern<i> >>>> el resto.

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/w3WcO"">2014-2015 Ranked</a>",,2024-11-06
2024-12-25,Dash & Lily – A Stormy Valentine's Day,2021,,5,,"<i>Dash & Lily<i> es mi comfort miniserie navideña por excelencia y me encanta que así sea.

🎄❤️🎄❤️🎄❤️🎄❤️",,2024-12-24
2025-01-17,Welcome to Lumon,2021,,5,,"Cinco estrellas como incentivo para <I>Outie Agos V.<I> e <I>Innie Agos V.<I> que en unas horas regresan a Lumon para el refinamiento de macrodatos.

Pueden leer más sobre <a href=""https://www.serializd.com/review/26225106""><I>Severance<I></a>, y otras series, en mi cuenta de <a href=""https://srlzd.com/u/Aguitov""><i>Serializd<i></a>.
<a href=""https://www.serializd.com/review/26225106"">S01</a>: <a href=""https://www.serializd.com/review/25772405"">E01</a> | <a href=""https://www.serializd.com/review/25776662"">E02</a> | <a href=""https://www.serializd.com/review/25929475"">E03</a> | <a href=""https://www.serializd.com/review/25998699"">E04</a> | <a href=""https://www.serializd.com/review/26065795"">E05</a> | <a href=""https://www.serializd.com/review/26066116"">E06</a> | <a href=""https://www.serializd.com/review/26136422"">E07</a> | <a href=""https://www.serializd.com/review/26136957"">E08</a> | <a href=""https://www.serializd.com/review/26197940"">E09</a>

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/tuer8"">2021 Ranked</a>",,2025-01-17
2025-03-22,Someday,2025,,4,,"<blockquote>“You're perfect. Now work it.”<blockquote>

¡Te amo <i>Pedrito<i>, tú eres perfecto! ❤️

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/CwPfy"">2025 Ranked</a>",,2025-03-21
2025-03-31,Someday,2025,,4,,"<blockquote>“You're perfect. Now work it.”<blockquote>

¡Te amo Pedrito, tú eres perfecto! ❤️

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/CwPfy"">2025 Ranked</a>",,2025-03-21
2025-06-09,Psycho Killer,2025,,4.5,,"<blockquote>”I'm tense and nervous and I can't relax.”<blockquote>

<i>Psycho Killer<i> versión <i>Inside Out<i> live action, con <i>Saoirse Ronan<i> en el papel de <i>Riley<i>.

<a href=""https://boxd.it/HJPFs"">Music videos</a> | <a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/CwPfy"">2025 Ranked</a>",,2025-06-08
2025-06-30,Psycho Killer,2025,,4.5,,"<blockquote>“I'm tense and nervous and I can't relax”<blockquote>

<i>Psycho Killer<i> versión live action de <i>Inside Out<i>, con <i>Saoirse Ronan<i> en el papel de <i>Riley<i>.

<a href=""https://boxd.it/HJPFs"">Music videos</a> | <a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/CwPfy"">2025 Ranked</a>",,2025-06-08
2025-12-22,Come Together,2016,,4,Yes,"¿Navidad en un tren repleto de extraños, al fiel estilo visual de <i>Wes Anderson<i>, con <i>Happy Xmas (War Is Over)<i> musicalizando el ambiente festivo? Yendo a H&M.

<a href=""https://boxd.it/z4XCs"">Short films</a> | <a href=""https://boxd.it/QXAwE"">Christmas Movies 🎄</a> | <a href=""https://boxd.it/QQH6Y"">Wes Anderson</a> | <a href=""https://boxd.it/w3Wgw"">2016 Ranked</a>",,2025-12-21
