Date,Name,Year,Letterboxd URI,Rating
2023-09-01,On the Line,2022,https://boxd.it/B0DK,1.5
2023-09-02,Past Lives,2023,https://boxd.it/oNB8,5
2023-09-03,I Origins,2014,https://boxd.it/7aRM,5
2023-09-04,An Argentinian in New York,1998,https://boxd.it/7Hte,3.5
2023-09-05,Your Son,2018,https://boxd.it/jt44,2.5
2023-09-06,2:37,2006,https://boxd.it/27i0,4
2023-09-07,4x4,2019,https://boxd.it/l8PC,2.5
2023-09-08,Truman,2015,https://boxd.it/bocw,4
2023-09-09,No Hard Feelings,2023,https://boxd.it/xouu,4
2023-09-10,7 Boxes,2012,https://boxd.it/4byq,4.5
2023-09-11,Remember Me,2010,https://boxd.it/1zyI,3.5
2023-09-12,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,4
2023-09-13,The Crowded Room,2023,https://boxd.it/GViY,4.5
2023-09-14,Burning Body,2023,https://boxd.it/ICuq,4
2023-09-15,Killer Book Club,2023,https://boxd.it/Cdmu,3
2023-09-16,Love at First Sight,2023,https://boxd.it/bUmS,5
2023-09-17,Infinity Pool,2023,https://boxd.it/oPSK,3.5
2023-09-18,12 Years a Slave,2013,https://boxd.it/2D2e,2
2023-09-19,18 Presents,2020,https://boxd.it/nmmo,4.5
2023-09-20,When You Finish Saving The World,2022,https://boxd.it/pOZW,2.5
2023-09-21,22 vs. Earth,2021,https://boxd.it/uyDA,3
2023-09-22,Soul,2020,https://boxd.it/ioLA,4.5
2023-09-23,Asteroid City,2023,https://boxd.it/s3ds,2
2023-09-24,30 Nights with My Ex,2022,https://boxd.it/xhEs,3
2023-09-25,90 Minutes in Heaven,2015,https://boxd.it/bv1g,2
2023-09-26,365 Days,2020,https://boxd.it/oJ9O,1.5
2023-09-27,365 Days: This Day,2022,https://boxd.it/vhbc,1
2023-09-28,The Next 365 Days,2022,https://boxd.it/vhaS,0.5
2023-09-29,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4.5
2023-09-30,"Red, White & Royal Blue",2023,https://boxd.it/z3iG,3
